Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,CIV rocks and IV pebbles,CVII rocks and VI pebbles,CIV rocks,CVII rocks and IV pebbles,CV rocks and IV pebbles,170149200
2016-08-08,CVII rocks and V pebbles,CVIII rocks and IX pebbles,CVII rocks and I pebbles,CVIII rocks and I pebbles,CVI rocks and VII pebbles,124505800
2016-08-15,CVIII rocks and I pebbles,CX rocks and II pebbles,CVIII rocks,CIX rocks and III pebbles,CVII rocks and VIII pebbles,132371400
2016-08-22,CVIII rocks and VIII pebbles,CIX rocks and III pebbles,CVI rocks and III pebbles,CVI rocks and IX pebbles,CV rocks and IV pebbles,123605500
2016-08-29,CVI rocks and VI pebbles,CVIII rocks,CV rocks and V pebbles,CVII rocks and VII pebbles,CVI rocks and II pebbles,133000600
2016-09-05,CVII rocks and IX pebbles,CVIII rocks and VII pebbles,CIII rocks and I pebbles,CIII rocks and I pebbles,CI rocks and VII pebbles,168803700
2016-09-12,CII rocks and VI pebbles,CXVI rocks and I pebbles,CII rocks and V pebbles,CXIV rocks and IX pebbles,CXIII rocks and III pebbles,388228200
2016-09-19,CXV rocks and I pebbles,CXVI rocks and I pebbles,CXI rocks and V pebbles,CXII rocks and VII pebbles,CXI rocks and I pebbles,201095700
2016-09-26,CXI rocks and VI pebbles,CXIV rocks and VI pebbles,CXI rocks and V pebbles,CXIII rocks,CXI rocks and V pebbles,156384000
2016-10-03,CXII rocks and VII pebbles,CXIV rocks and V pebbles,CXII rocks and II pebbles,CXIV rocks,CXII rocks and V pebbles,126029400
2016-10-10,CXV rocks,CXVIII rocks and VI pebbles,CXIV rocks and VII pebbles,CXVII rocks and VI pebbles,CXVI rocks,208708400
2016-10-17,CXVII rocks and III pebbles,CXVIII rocks and II pebbles,CXIII rocks and VIII pebbles,CXVI rocks and V pebbles,CXV rocks,115531500
2016-10-24,CXVII rocks,CXVIII rocks and III pebbles,CXIII rocks and III pebbles,CXIII rocks and VII pebbles,CXII rocks and I pebbles,210225600
2016-10-31,CXIII rocks and VI pebbles,CXIV rocks and II pebbles,CVIII rocks and I pebbles,CVIII rocks and VIII pebbles,CVII rocks and III pebbles,156346500
2016-11-07,CX rocks,CXI rocks and VII pebbles,CV rocks and VIII pebbles,CVIII rocks and IV pebbles,CVII rocks and V pebbles,207019500
2016-11-14,CVII rocks and VII pebbles,CX rocks and V pebbles,CIV rocks,CX rocks,CIX rocks and I pebbles,198341400
